,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Selection bias source,Selection bias target
3,SLearner,htce,0.10613947210359297,-1.7372353292093925,0.2070440033448482,0.23326285941657054,2,1.0
4,DRLearner,target,0.1975994802360854,-1.7372353292093925,0.2070440033448482,0.4342646412835993,2,1.0
5,TARNet,target,0.16892252523569015,-1.7372353292093925,0.2070440033448482,0.37124125902837446,2,1.0
6,TLearner,target,0.27645815422079917,-1.7372353292093925,0.2070440033448482,0.6075724542857216,2,1.0
7,SLearner,target,0.480298555991634,-1.7372353292093925,0.2070440033448482,1.0555527771507147,2,1.0
8,DRLearner,radial_gan,0.17672281795529238,-1.7372353292093925,0.2070440033448482,0.3883839727426919,2,1.0
9,TARNet,radial_gan,0.16492092193846067,-1.7372353292093925,0.2070440033448482,0.36244693012450074,2,1.0
10,TLearner,radial_gan,0.19702943925536368,-1.7372353292093925,0.2070440033448482,0.43301186145991605,2,1.0
11,SLearner,radial_gan,0.2574887616592074,-1.7372353292093925,0.2070440033448482,0.565883394950721,2,1.0
12,DRLearner,shared_source_target,0.3153779387863447,-1.7372353292093925,0.2070440033448482,0.693106516738711,2,1.0
13,TARNet,shared_source_target,0.373712620379079,-1.7372353292093925,0.2070440033448482,0.8213087242849814,2,1.0
14,TLearner,shared_source_target,0.34445294542883054,-1.7372353292093925,0.2070440033448482,0.757004697618701,2,1.0
15,SLearner,shared_source_target,0.3419134335148847,-1.7372353292093925,0.2070440033448482,0.7514236088980855,2,1.0
0,DRLearner,htce,0.05522376099320248,-1.7372353292093925,0.2070440033448482,0.1213653331951669,2,2.0
1,TARNet,htce,0.067532066562419,-1.7372353292093925,0.2070440033448482,0.14841531276211029,2,2.0
2,TLearner,htce,0.06017037443534529,-1.7372353292093925,0.2070440033448482,0.13223651215502172,2,2.0
3,SLearner,htce,0.12765660180228494,-1.7372353292093925,0.2070440033448482,0.28055108405608425,2,2.0
4,DRLearner,target,0.22737188178405193,-1.7372353292093925,0.2070440033448482,0.49969548787758683,2,2.0
5,TARNet,target,0.18499896745135516,-1.7372353292093925,0.2070440033448482,0.4065724775293599,2,2.0
6,TLearner,target,0.307287010048116,-1.7372353292093925,0.2070440033448482,0.6753250718585924,2,2.0
7,SLearner,target,0.5374279446082338,-1.7372353292093925,0.2070440033448482,1.18110611071565,2,2.0
8,DRLearner,radial_gan,0.17967615566180356,-1.7372353292093925,0.2070440033448482,0.3948745269596113,2,2.0
9,TARNet,radial_gan,0.21361834018503717,-1.7372353292093925,0.2070440033448482,0.4694693111602228,2,2.0
10,TLearner,radial_gan,0.19920275620122696,-1.7372353292093925,0.2070440033448482,0.4377881630107262,2,2.0
11,SLearner,radial_gan,0.26401677332494883,-1.7372353292093925,0.2070440033448482,0.5802300148959321,2,2.0
12,DRLearner,shared_source_target,0.3706770056054281,-1.7372353292093925,0.2070440033448482,0.8146373496478634,2,2.0
13,TARNet,shared_source_target,0.38690010246837936,-1.7372353292093925,0.2070440033448482,0.8502908712628057,2,2.0
14,TLearner,shared_source_target,0.3718560472335551,-1.7372353292093925,0.2070440033448482,0.8172285310066669,2,2.0
15,SLearner,shared_source_target,0.3683441509785501,-1.7372353292093925,0.2070440033448482,0.8095104319226875,2,2.0
0,DRLearner,htce,0.08618317487632389,-1.7372353292093925,0.2070440033448482,0.18940487838142478,2,5.0
1,TARNet,htce,0.15616393580043747,-1.7372353292093925,0.2070440033448482,0.34320169000843076,2,5.0
2,TLearner,htce,0.12575788220542675,-1.7372353292093925,0.2070440033448482,0.27637826546545524,2,5.0
3,SLearner,htce,0.19046025959715393,-1.7372353292093925,0.2070440033448482,0.4185747665627454,2,5.0
4,DRLearner,target,0.3813868942337684,-1.7372353292093925,0.2070440033448482,0.8381744861717891,2,5.0
5,TARNet,target,0.44429088179948945,-1.7372353292093925,0.2070440033448482,0.976418663549677,2,5.0
6,TLearner,target,0.3777021191531705,-1.7372353292093925,0.2070440033448482,0.8300764510622091,2,5.0
7,SLearner,target,0.7658811451898667,-1.7372353292093925,0.2070440033448482,1.6831780143570012,2,5.0
8,DRLearner,radial_gan,0.27865534169621275,-1.7372353292093925,0.2070440033448482,0.6124012161311642,2,5.0
9,TARNet,radial_gan,0.2532534317737279,-1.7372353292093925,0.2070440033448482,0.5565754048120932,2,5.0
10,TLearner,radial_gan,0.31038828647908373,-1.7372353292093925,0.2070440033448482,0.6821407512075786,2,5.0
11,SLearner,radial_gan,0.3454443385877272,-1.7372353292093925,0.2070440033448482,0.7591834836863814,2,5.0
12,DRLearner,shared_source_target,0.40788911807954487,-1.7372353292093925,0.2070440033448482,0.8964184588677356,2,5.0
13,TARNet,shared_source_target,0.4447316034077543,-1.7372353292093925,0.2070440033448482,0.9773872380160188,2,5.0
14,TLearner,shared_source_target,0.39717632640573586,-1.7372353292093925,0.2070440033448482,0.8728749423169111,2,5.0
15,SLearner,shared_source_target,0.44985949646067036,-1.7372353292093925,0.2070440033448482,0.9886568154182703,2,5.0
0,DRLearner,htce,0.14069063150271718,-1.7372353292093925,0.2070440033448482,0.30919598851421004,2,10.0
